Kwartal;Bialystok;Bydgoszcz;Gdansk;Gdynia;Katowice;Kielce;Krakow;Lublin;Lodz;Olsztyn;Opole;Poznan;Rzeszow;Szczecin;Warszawa;Wroclaw
III 2006;2727;3243;5004;4937;3986;2919;6021;3456;3210;4000;3343;4770;2862;3215;5873;4750;2754
IV 2006;2727;3947;6199;5284;4062;3493;7929;3314;4237;4800;;4827;3401;3679;6095;5759;2869
I 2007;4181;4501;6437;6466;4518;3382;8247;3604;4927;5149;;7275;3420;4749;7509;6309;2872
II 2007;4725;5700;7999;8934;5181;3902;8129;4143;5453;4776;;7360;4080;5050;8000;6294;4153
III 2007;4199;4994;8053;8114;6236;4651;8420;4645;5201;4900;4784;6838;4069;5035;8740;6444;4208
IV 2007;4995;4829;7402;7887;6458;4475;8355;5047;5062;4900;4937;7564;4357;5731;9561;5495;3965
I 2008;5128;4893;7210;7737;6258;4529;8084;5011;5048;4800;4920;7480;4188;5723;9427;5728;3965
II 2008;5651;5035;8509;7897;6599;5281;8034;5174;4962;4800;4931;7338;4215;5664;9300;6299;3986
III 2008;5115;4959;8454;7169;6303;5396;8012;5170;5480;4924;4943;7320;4433;5521;9235;5704;4012
IV 2008;4725;4989;6609;6342;6677;5208;7751;5266;5329;4761;4968;7277;4069;5469;9821;5027;3892
I 2009;5510;4940;6800;6290;6482;5111;7675;5177;5308;4650;4993;7200;3966;5310;9880;5014;3575
II 2009;4738;4897;6875;6084;6615;5099;7622;5079;4960;4600;5015;7233;3787;5324;9859;5093;3538
III 2009;4925;4920;6096;6294;5990;5122;7631;5329;5255;4496;5083;7030;3742;5181;9993;5362;3571
IV 2009;4830;4939;6179;6134;5909;4978;7521;5287;5250;4913;5223;6725;4021;4987;9915;5640;3530
I 2010;4791;5080;6078;6128;6467;4958;7595;5113;5290;5290;5276;6685;4159;5206;9119;6020;3554
II 2010;4640;5026;5730;5693;6360;4947;7559;5257;5366;4840;5355;6587;4274;5004;8551;6090;3584
III 2010;4790;5036;5456;6030;6420;4945;7526;5002;5367;5100;5429;6600;4305;4983;8295;6231;3628
IV 2010;4778;4733;5577;6327;6085;4951;7564;5003;5215;5135;5497;6528;4254;4959;8133;6342;3673
I 2011;4830;4764;5732;6344;6122;4907;7517;4993;5265;4858;4840;6376;4077;4980;8211;6129;3660
II 2011;4823;4849;5630;6541;6141;4954;7209;5053;5002;4938;4841;6328;4142;5049;8396;6281;3644
III 2011;4828;4841;5804;6344;5451;4867;7061;5121;5101;4920;4839;6286;4283;5017;8025;6388;3757
IV 2011;4825;4880;5910;6441;5413;4876;7039;5031;5038;4773;4837;6204;4271;5000;7826;6370;3764
I 2012;4776;4846;6248;6879;4741;4982;7112;5080;5176;4775;4835;6183;4457;4951;7879;6406;3756
II 2012;4731;4851;6358;6119;5351;5071;7083;5134;4948;4788;4832;6058;4565;4973;8123;6467;3734
III 2012;5011;4859;6475;6279;5411;5219;6893;5111;4969;4840;4829;6161;4507;4982;7875;6267;3744
IV 2012;4951;4787;6514;6186;5318;5110;6773;5043;4646;4570;4829;6131;4555;4986;7695;6069;3653
I 2013;4965;4934;6453;6063;5526;5061;6362;5126;4898;4598;4821;6382;4463;4836;8076;6031;3634
II 2013;4936;5131;6403;6582;5817;5075;6266;5014;4811;4647;4809;6334;5141;4774;8081;5970;3613
III 2013;4949;5185;6398;6824;5898;4884;6071;5140;4780;4856;4674;6342;5148;4828;8146;5997;3613
IV 2013;4938;5279;6568;6314;5456;4882;6122;5017;4768;4867;4426;6417;5102;4896;8088;5928;3674
I 2014;4856;5040;6090;6944;5531;4852;6472;5009;4808;4862;4458;6670;5123;4879;8005;6016;3693
II 2014;4840;4951;6232;6341;5602;4878;6434;4924;4936;4937;4564;6560;5027;4844;7924;6092;3784
III 2014;4885;5100;6074;6328;5397;4767;6214;4922;4932;4929;4731;6552;5040;4876;7819;6050;3769
IV 2014;4909;5149;6289;6005;5545;4750;6491;5005;4861;4942;4772;6546;5034;4892;7691;6075;3784
I 2015;4881;5200;6492;6201;5630;4856;6565;5008;4863;4971;4802;6600;5245;4955;7839;5964;3808
II 2015;4838;5092;6671;6357;5632;4844;6720;4966;4906;4799;4801;6527;5082;4813;7872;6077;3813
III 2015;4790;5121;6416;6584;5509;4783;6658;5108;4881;4747;4781;6482;5038;4851;7807;6135;3835
IV 2015;4886;5088;6488;6265;5511;4878;6525;5172;4831;4848;4599;6512;5126;4815;7789;6245;3870
I 2016;4850;5148;6636;6506;5424;4838;6524;5050;4773;4806;4577;6425;4986;4873;7878;6190;3873
II 2016;4832;5153;6581;6964;5372;4833;6670;5095;4894;4788;4641;6458;5013;4885;7649;6201;3880
III 2016;4684;5246;6536;6949;5365;4686;6526;5244;4900;5174;4488;6453;4952;4871;7772;6335;3880
IV 2016;4707;5250;6550;6842;5293;4679;6711;5202;5110;5559;4501;6403;4842;4875;7638;6443;3891
I 2017;4844;5289;6462;6870;5362;4677;6619;5123;4943;5566;4691;6429;4811;5052;7707;6460;3890
II 2017;4874;5397;6775;6785;5383;4757;6746;5210;5180;5481;4741;6435;5054;5772;7740;6461;3912
III 2017;5096;6028;7329;7259;5439;4780;6931;5134;5147;5450;4761;6479;4990;5845;7788;6390;3922
IV 2017;5066;6041;7371;7955;5479;4762;6924;5209;5332;5600;4758;6551;4992;5617;8020;6526;3937
I 2018;5095;6196;8054;7855;5377;4869;6918;5284;5524;5709;5021;6676;4952;5660;8202;6745;3931
II 2018;5236;6123;8422;7912;5780;4869;6902;5364;5475;5811;5070;6866;5257;5759;8611;7020;3951
III 2018;5401;6227;8293;7641;5845;4852;7040;5676;5529;5794;5199;6931;5233;5941;8888;7145;4102
IV 2018;5569;6427;8603;9342;6274;5112;7356;5860;5663;5946;5264;7033;5210;6054;9020;7230;4306
I 2019;5640;6309;8267;9206;6418;5101;7623;5866;5796;6083;5322;7351;5549;6244;9427;7457;4512
II 2019;5753;6340;9033;9071;6548;5132;7957;5844;6010;6082;5646;7233;5792;6305;9590;7636;4670
III 2019;5916;6415;9474;9186;6717;5284;8017;5933;6027;6191;5698;7391;5799;6606;9935;7909;4727
IV 2019;5961;6512;9806;9175;7002;5476;8532;5911;6274;6350;6086;7394;5880;6574;10280;7976;4819
I 2020;6220;6592;9904;9243;7313;5494;9212;5965;6608;6380;6098;7541;5909;6645;10610;8483;5111
II 2020;6166;7093;9781;9438;7341;6156;9757;6225;6510;6411;6076;7764;5987;7086;10719;8652;5251
III 2020;6229;7125;9621;9571;7662;6145;9466;6651;6734;6429;6109;7922;6048;7786;10734;8670;5388
IV 2020;6238;7227;9691;9759;7954;6235;9594;6899;6761;6417;6011;7980;6274;8097;10751;8630;5481
I 2021;6509;7272;10070;10218;8051;6232;9739;7083;6854;6592;5997;7990;6362;8229;10969;9062;5635
II 2021;6815;7405;9716;10409;8249;6345;10142;7562;7409;6870;5943;8256;6711;8469;11362;9387;6298
III 2021;7621;7567;10310;10998;8387;6633;10618;7965;8006;6917;6855;8781;7271;8800;11406;9965;6820
IV 2021;8155;8103;11185;10923;8384;6769;11009;7897;8117;7203;7147;9200;7776;9184;11820;10189;7129
I 2022;8318;8309;11356;11241;8850;7124;11156;8170;8145;7742;6838;9841;8102;9424;12517;10352;7295
II 2022;8611;8875;11632;11531;9295;7704;11391;8501;8481;7960;8221;9968;8412;9907;12895;10789;7338
III 2022;8723;8857;11619;11850;10107;8068;11731;9421;8973;8237;8341;10152;8696;11005;12912;10963;7390
IV 2022;8714;9010;11643;11667;10320;8347;11967;9408;9152;8563;8500;10327;8721;10870;13009;11384;7425
I 2023;8778;9125;11808;11244;10460;8386;12146;9735;9391;8883;9056;10682;8949;11172;13302;11948;7448
II 2023;8893;9405;11793;11381;10634;8447;13050;9839;9465;8981;9133;10807;9002;11965;13713;12201;7562
III 2023;9571;9634;12233;11942;10907;8551;14174;10055;9594;8739;9105;11561;9187;12194;14880;12836;7602
IV 2023;9846;9701;13063;12766;11267;8719;14555;10703;10197;8951;10301;12435;9891;12399;15559;13353;7853
I 2024;9941;9941;13827;12034;11342;9034;15585;10880;10708;9788;10063;12811;10264;12221;16190;13531;8165
II 2024;10628;10016;13848;11469;11922;9722;16752;11257;11247;9876;11295;12789;10498;12486;16512;13992;8570
III 2024;10787;10286;13773;12539;12144;10060;16570;11042;11465;10042;11349;12953;10615;12996;16821;15275;9130
IV 2024;11021;10609;13505;12885;12326;10725;16558;11122;11528;10996;11482;12949;10433;13079;16787;15046;9385
I 2025;11023;10587;13996;12930;12479;10649;16802;11276;11521;10705;11694;13130;10714;13060;16948;15072;9497
